# Region type : patch inlet
# Faces  :   192
# Area   :   5.944480e-04
# Time       	sum(phi)
0.0005       	-1.249217e-05
0.001        	-1.308535e-05
0.0015       	-1.522137e-05
0.002        	-1.535262e-05
0.0025       	-1.558259e-05
0.003        	-1.574119e-05
0.0035       	-1.613892e-05
0.004        	-1.667730e-05
0.0045       	-1.721392e-05
0.005        	-1.767724e-05
0.0055       	-1.807490e-05
0.006        	-1.844157e-05
0.0065       	-1.883082e-05
0.007        	-1.928515e-05
0.0075       	-1.983709e-05
0.008        	-2.039168e-05
0.0085       	-2.097249e-05
0.009        	-2.157179e-05
0.0095       	-2.217420e-05
0.01         	-2.273218e-05
0.0105       	-2.326923e-05
0.011        	-2.383598e-05
0.0115       	-2.442401e-05
0.012        	-2.499545e-05
0.0125       	-2.550975e-05
0.013        	-2.597329e-05
0.0135       	-2.654247e-05
0.014        	-2.718315e-05
0.0145       	-2.768465e-05
0.015        	-2.798511e-05
0.0155       	-2.878170e-05
0.016        	-2.939739e-05
0.0165       	-2.986405e-05
0.017        	-3.034917e-05
0.0175       	-3.086590e-05
0.018        	-3.140586e-05
0.0185       	-3.196295e-05
0.019        	-3.246435e-05
0.0195       	-3.297836e-05
0.02         	-3.350356e-05
0.0205       	-3.405856e-05
0.021        	-3.462940e-05
0.0215       	-3.514972e-05
0.022        	-3.563207e-05
0.0225       	-3.619690e-05
0.023        	-3.678241e-05
0.0235       	-3.730019e-05
0.024        	-3.775107e-05
0.0245       	-3.835497e-05
0.025        	-3.894066e-05
0.0255       	-3.943763e-05
0.026        	-3.985525e-05
0.0265       	-4.045923e-05
0.027        	-4.113997e-05
0.0275       	-4.169637e-05
0.028        	-4.219729e-05
0.0285       	-4.270148e-05
0.029        	-4.322443e-05
0.0295       	-4.374030e-05
0.03         	-4.432375e-05
0.0305       	-4.480800e-05
0.031        	-4.532432e-05
0.0315       	-4.586999e-05
0.032        	-4.647305e-05
0.0325       	-4.701007e-05
0.033        	-4.750096e-05
0.0335       	-4.807363e-05
0.034        	-4.868303e-05
0.0345       	-4.921160e-05
0.035        	-4.970421e-05
0.0355       	-5.025432e-05
0.036        	-5.080886e-05
0.0365       	-5.124589e-05
0.037        	-5.177412e-05
0.0375       	-5.236993e-05
0.038        	-5.289297e-05
0.0385       	-5.334953e-05
0.039        	-5.400275e-05
0.0395       	-5.462753e-05
0.04         	-5.512968e-05
0.0405       	-5.552212e-05
0.041        	-5.612787e-05
0.0415       	-5.671585e-05
0.042        	-5.725473e-05
0.0425       	-5.774248e-05
0.043        	-5.825080e-05
0.0435       	-5.875238e-05
0.044        	-5.934507e-05
0.0445       	-5.987313e-05
0.045        	-6.047284e-05
0.0455       	-6.102077e-05
0.046        	-6.147708e-05
0.0465       	-6.197127e-05
0.047        	-6.258673e-05
0.0475       	-6.307545e-05
0.048        	-6.347018e-05
0.0485       	-6.392853e-05
0.049        	-6.462060e-05
0.0495       	-6.526114e-05
0.05         	-6.574231e-05
0.0505       	-6.618936e-05
0.051        	-6.681100e-05
0.0515       	-6.737524e-05
0.052        	-6.776018e-05
0.0525       	-6.809525e-05
0.053        	-6.875220e-05
0.0535       	-6.941289e-05
0.054        	-6.994398e-05
0.0545       	-7.037654e-05
0.055        	-7.101547e-05
0.0555       	-7.157329e-05
0.056        	-7.201190e-05
