# Region type : patch inlet
# Faces  :   192
# Area   :   5.944480e-04
# Time       	sum(phi)
0.0005       	-1.249304e-05
0.001        	-1.308771e-05
0.0015       	-1.525457e-05
0.002        	-1.538029e-05
0.0025       	-1.560461e-05
0.003        	-1.575313e-05
0.0035       	-1.614592e-05
0.004        	-1.668141e-05
0.0045       	-1.721725e-05
0.005        	-1.767893e-05
0.0055       	-1.807509e-05
0.006        	-1.844200e-05
0.0065       	-1.883092e-05
0.007        	-1.928385e-05
0.0075       	-1.983746e-05
0.008        	-2.039293e-05
0.0085       	-2.097577e-05
0.009        	-2.157676e-05
0.0095       	-2.217948e-05
0.01         	-2.273738e-05
0.0105       	-2.327324e-05
0.011        	-2.383519e-05
0.0115       	-2.442796e-05
0.012        	-2.498551e-05
0.0125       	-2.551756e-05
0.013        	-2.606327e-05
0.0135       	-2.653477e-05
0.014        	-2.708657e-05
0.0145       	-2.768509e-05
0.015        	-2.813516e-05
0.0155       	-2.870441e-05
0.016        	-2.934608e-05
0.0165       	-2.985059e-05
0.017        	-3.032672e-05
0.0175       	-3.085602e-05
0.018        	-3.142289e-05
0.0185       	-3.198229e-05
0.019        	-3.245259e-05
0.0195       	-3.295694e-05
0.02         	-3.349335e-05
0.0205       	-3.407374e-05
0.021        	-3.462703e-05
0.0215       	-3.508730e-05
0.022        	-3.563235e-05
0.0225       	-3.626581e-05
0.023        	-3.678963e-05
0.0235       	-3.727683e-05
0.024        	-3.780456e-05
0.0245       	-3.841146e-05
0.025        	-3.893126e-05
0.0255       	-3.938374e-05
0.026        	-3.994087e-05
0.0265       	-4.055684e-05
0.027        	-4.111139e-05
0.0275       	-4.159665e-05
0.028        	-4.208386e-05
0.0285       	-4.270112e-05
0.029        	-4.328334e-05
0.0295       	-4.375930e-05
0.03         	-4.424538e-05
0.0305       	-4.480851e-05
0.031        	-4.542638e-05
0.0315       	-4.593161e-05
0.032        	-4.634800e-05
0.0325       	-4.697437e-05
0.033        	-4.768731e-05
0.0335       	-4.811365e-05
0.034        	-4.851643e-05
0.0345       	-4.918163e-05
0.035        	-4.980724e-05
0.0355       	-5.003677e-05
0.036        	-5.017643e-05
0.0365       	-5.126065e-05
0.037        	-5.225252e-05
0.0375       	-5.276715e-05
0.038        	-5.298028e-05
0.0385       	-5.343855e-05
0.039        	-5.403309e-05
0.0395       	-5.456317e-05
0.04         	-5.505436e-05
0.0405       	-5.561071e-05
