# Region type : patch outlet
# Faces  :   192
# Area   :   5.944480e-04
# Time       	sum(phi)
0.0005       	1.249242e-05
0.001        	1.308526e-05
0.0015       	1.522150e-05
0.002        	1.535215e-05
0.0025       	1.558282e-05
0.003        	1.574140e-05
0.0035       	1.613939e-05
0.004        	1.667750e-05
0.0045       	1.721413e-05
0.005        	1.767722e-05
0.0055       	1.807493e-05
0.006        	1.844169e-05
0.0065       	1.883130e-05
0.007        	1.928556e-05
0.0075       	1.983748e-05
0.008        	2.039117e-05
0.0085       	2.097292e-05
0.009        	2.157225e-05
0.0095       	2.217372e-05
0.01         	2.273290e-05
0.0105       	2.326941e-05
0.011        	2.383692e-05
0.0115       	2.442391e-05
0.012        	2.499607e-05
0.0125       	2.551018e-05
0.013        	2.597491e-05
0.0135       	2.654306e-05
0.014        	2.718398e-05
0.0145       	2.768468e-05
0.015        	2.798461e-05
0.0155       	2.878254e-05
0.016        	2.939717e-05
0.0165       	2.986385e-05
0.017        	3.035015e-05
0.0175       	3.086652e-05
0.018        	3.140703e-05
0.0185       	3.196547e-05
0.019        	3.246484e-05
0.0195       	3.297878e-05
0.02         	3.350606e-05
0.0205       	3.405906e-05
0.021        	3.462896e-05
0.0215       	3.514995e-05
0.022        	3.563186e-05
0.0225       	3.619811e-05
0.023        	3.678170e-05
0.0235       	3.729832e-05
0.024        	3.775125e-05
0.0245       	3.835597e-05
0.025        	3.894090e-05
0.0255       	3.943814e-05
0.026        	3.985574e-05
0.0265       	4.045979e-05
0.027        	4.113989e-05
0.0275       	4.169577e-05
0.028        	4.219785e-05
0.0285       	4.270175e-05
0.029        	4.322445e-05
0.0295       	4.373794e-05
0.03         	4.432442e-05
0.0305       	4.480787e-05
0.031        	4.532492e-05
0.0315       	4.587306e-05
0.032        	4.647404e-05
0.0325       	4.701031e-05
0.033        	4.750054e-05
0.0335       	4.807391e-05
0.034        	4.868416e-05
0.0345       	4.920955e-05
0.035        	4.970205e-05
0.0355       	5.025530e-05
0.036        	5.081252e-05
0.0365       	5.124278e-05
0.037        	5.177583e-05
0.0375       	5.237085e-05
0.038        	5.289278e-05
0.0385       	5.334862e-05
0.039        	5.400353e-05
0.0395       	5.462729e-05
0.04         	5.512955e-05
0.0405       	5.552362e-05
0.041        	5.612877e-05
0.0415       	5.671709e-05
0.042        	5.725326e-05
0.0425       	5.774341e-05
0.043        	5.825444e-05
0.0435       	5.875187e-05
0.044        	5.934275e-05
0.0445       	5.987239e-05
0.045        	6.047400e-05
0.0455       	6.101652e-05
0.046        	6.147718e-05
0.0465       	6.196991e-05
0.047        	6.258792e-05
0.0475       	6.307260e-05
0.048        	6.347033e-05
0.0485       	6.392952e-05
0.049        	6.462180e-05
0.0495       	6.525958e-05
0.05         	6.574229e-05
0.0505       	6.618839e-05
0.051        	6.681153e-05
0.0515       	6.737567e-05
0.052        	6.775889e-05
0.0525       	6.809439e-05
0.053        	6.875346e-05
0.0535       	6.940811e-05
0.054        	6.994382e-05
0.0545       	7.037585e-05
0.055        	7.101682e-05
0.0555       	7.157384e-05
0.056        	7.201107e-05
0.0565       	7.214137e-05
0.057        	7.284444e-05
0.0575       	7.366514e-05
0.058        	7.423361e-05
0.0585       	7.455258e-05
0.059        	7.490483e-05
0.0595       	7.538950e-05
0.06         	7.594992e-05
0.0605       	7.646661e-05
0.061        	7.685508e-05
0.0615       	7.705559e-05
0.062        	7.752502e-05
0.0625       	7.797485e-05
0.063        	7.824783e-05
0.0635       	7.839227e-05
0.064        	7.883124e-05
0.0645       	7.930756e-05
0.065        	7.981358e-05
0.0655       	8.019926e-05
0.066        	8.052609e-05
0.0665       	8.126293e-05
0.067        	8.196747e-05
0.0675       	8.237562e-05
0.068        	8.297820e-05
0.0685       	8.353256e-05
0.069        	8.409076e-05
0.0695       	8.471076e-05
0.07         	8.489972e-05
0.0705       	8.564053e-05
0.071        	8.645725e-05
0.0715       	8.705653e-05
0.072        	8.724261e-05
0.0725       	8.767423e-05
0.073        	8.865285e-05
0.0735       	8.939441e-05
0.074        	8.973867e-05
0.0745       	8.985868e-05
0.075        	9.055013e-05
0.0755       	9.139999e-05
0.076        	9.199267e-05
0.0765       	9.234428e-05
0.077        	9.274771e-05
0.0775       	9.361737e-05
0.078        	9.440830e-05
0.0785       	9.476169e-05
0.079        	9.490478e-05
0.0795       	9.532425e-05
0.08         	9.613837e-05
0.0805       	9.681706e-05
0.081        	9.716584e-05
0.0815       	9.782129e-05
0.082        	9.844059e-05
0.0825       	9.905440e-05
0.083        	9.948408e-05
0.0835       	1.000371e-04
0.084        	1.007756e-04
0.0845       	1.012363e-04
0.085        	1.010589e-04
0.0855       	1.022265e-04
0.086        	1.032358e-04
0.0865       	1.036092e-04
0.087        	1.038282e-04
0.0875       	1.038495e-04
0.088        	1.049620e-04
0.0885       	1.058369e-04
0.089        	1.063614e-04
0.0895       	1.065541e-04
0.09         	1.067268e-04
0.0905       	1.077148e-04
0.091        	1.083932e-04
0.0915       	1.086018e-04
0.092        	1.088256e-04
0.0925       	1.098761e-04
0.093        	1.107723e-04
0.0935       	1.111550e-04
0.094        	1.110519e-04
0.0945       	1.111459e-04
0.095        	1.126449e-04
0.0955       	1.138967e-04
0.096        	1.141723e-04
0.0965       	1.140703e-04
0.097        	1.143565e-04
0.0975       	1.151013e-04
0.098        	1.160391e-04
0.0985       	1.165853e-04
0.099        	1.166410e-04
0.0995       	1.171119e-04
0.1          	1.180617e-04
