# Region type : patch outlet
# Faces  :   192
# Area   :   5.944480e-04
# Time       	sum(phi)
0.0005       	1.249369e-05
0.001        	1.308724e-05
0.0015       	1.525532e-05
0.002        	1.537940e-05
0.0025       	1.560477e-05
0.003        	1.575277e-05
0.0035       	1.614620e-05
0.004        	1.668155e-05
0.0045       	1.721747e-05
0.005        	1.767905e-05
0.0055       	1.807536e-05
0.006        	1.844221e-05
0.0065       	1.883098e-05
0.007        	1.928418e-05
0.0075       	1.983747e-05
0.008        	2.039295e-05
0.0085       	2.097595e-05
0.009        	2.157792e-05
0.0095       	2.217989e-05
0.01         	2.273596e-05
0.0105       	2.327281e-05
0.011        	2.383411e-05
0.0115       	2.442810e-05
0.012        	2.498421e-05
0.0125       	2.551729e-05
0.013        	2.606415e-05
0.0135       	2.653258e-05
0.014        	2.708679e-05
0.0145       	2.768498e-05
0.015        	2.813414e-05
0.0155       	2.870441e-05
0.016        	2.934617e-05
0.0165       	2.985071e-05
0.017        	3.032836e-05
0.0175       	3.085680e-05
0.018        	3.142317e-05
0.0185       	3.198309e-05
0.019        	3.245238e-05
0.0195       	3.295911e-05
0.02         	3.349367e-05
0.0205       	3.407470e-05
0.021        	3.463082e-05
0.0215       	3.508958e-05
0.022        	3.563306e-05
0.0225       	3.626510e-05
0.023        	3.678665e-05
0.0235       	3.727619e-05
0.024        	3.780489e-05
0.0245       	3.841199e-05
0.025        	3.893170e-05
0.0255       	3.938424e-05
0.026        	3.994200e-05
0.0265       	4.055453e-05
0.027        	4.111148e-05
0.0275       	4.159703e-05
0.028        	4.208319e-05
0.0285       	4.270088e-05
0.029        	4.328387e-05
0.0295       	4.375986e-05
0.03         	4.424266e-05
0.0305       	4.480882e-05
0.031        	4.542592e-05
0.0315       	4.593175e-05
0.032        	4.634472e-05
0.0325       	4.697606e-05
0.033        	4.768814e-05
0.0335       	4.811352e-05
0.034        	4.851691e-05
0.0345       	4.917876e-05
0.035        	4.980647e-05
0.0355       	5.003631e-05
0.036        	5.017484e-05
0.0365       	5.126122e-05
0.037        	5.225035e-05
0.0375       	5.276681e-05
0.038        	5.298023e-05
0.0385       	5.344033e-05
0.039        	5.403434e-05
0.0395       	5.456270e-05
0.04         	5.505503e-05
0.0405       	5.561129e-05
0.041        	5.620077e-05
0.0415       	5.673924e-05
0.042        	5.723836e-05
0.0425       	5.764211e-05
0.043        	5.824433e-05
0.0435       	5.897595e-05
0.044        	5.950166e-05
0.0445       	5.982180e-05
0.045        	6.031544e-05
0.0455       	6.095189e-05
0.046        	6.150868e-05
0.0465       	6.191211e-05
0.047        	6.245837e-05
0.0475       	6.304397e-05
0.048        	6.352479e-05
0.0485       	6.392110e-05
0.049        	6.454222e-05
0.0495       	6.518894e-05
0.05         	6.567363e-05
0.0505       	6.608196e-05
0.051        	6.676028e-05
0.0515       	6.736232e-05
0.052        	6.777623e-05
0.0525       	6.811444e-05
0.053        	6.885111e-05
0.0535       	6.946073e-05
0.054        	6.993089e-05
0.0545       	7.034531e-05
0.055        	7.100717e-05
0.0555       	7.158090e-05
0.056        	7.198037e-05
0.0565       	7.222575e-05
0.057        	7.290880e-05
0.0575       	7.349342e-05
0.058        	7.397289e-05
0.0585       	7.439248e-05
0.059        	7.496376e-05
0.0595       	7.547077e-05
0.06         	7.579389e-05
0.0605       	7.592272e-05
0.061        	7.676341e-05
0.0615       	7.736547e-05
0.062        	7.770824e-05
0.0625       	7.803754e-05
0.063        	7.835778e-05
0.0635       	7.874768e-05
0.064        	7.914614e-05
0.0645       	7.956535e-05
0.065        	7.999555e-05
0.0655       	8.052684e-05
0.066        	8.096692e-05
0.0665       	8.126725e-05
0.067        	8.220574e-05
0.0675       	8.299928e-05
0.068        	8.343683e-05
0.0685       	8.360907e-05
0.069        	8.412878e-05
0.0695       	8.482458e-05
0.07         	8.548405e-05
0.0705       	8.581400e-05
0.071        	8.634547e-05
0.0715       	8.712877e-05
0.072        	8.782324e-05
0.0725       	8.810172e-05
0.073        	8.854356e-05
0.0735       	8.934470e-05
0.074        	8.995991e-05
0.0745       	9.025489e-05
0.075        	9.039733e-05
0.0755       	9.122104e-05
0.076        	9.207289e-05
0.0765       	9.252824e-05
0.077        	9.287005e-05
0.0775       	9.335024e-05
0.078        	9.403902e-05
0.0785       	9.457068e-05
0.079        	9.512444e-05
0.0795       	9.555364e-05
0.08         	9.599091e-05
0.0805       	9.671932e-05
0.081        	9.749295e-05
0.0815       	9.792526e-05
0.082        	9.816334e-05
0.0825       	9.844065e-05
0.083        	9.946887e-05
0.0835       	1.001985e-04
0.084        	1.005661e-04
0.0845       	1.009445e-04
0.085        	1.013513e-04
0.0855       	1.019312e-04
0.086        	1.026984e-04
0.0865       	1.031939e-04
0.087        	1.038023e-04
0.0875       	1.044833e-04
0.088        	1.048979e-04
0.0885       	1.053908e-04
0.089        	1.053078e-04
0.0895       	1.068152e-04
0.09         	1.078431e-04
0.0905       	1.080313e-04
0.091        	1.081274e-04
0.0915       	1.081591e-04
0.092        	1.092048e-04
0.0925       	1.101249e-04
0.093        	1.105805e-04
0.0935       	1.108180e-04
0.094        	1.110270e-04
0.0945       	1.118098e-04
0.095        	1.127164e-04
0.0955       	1.134146e-04
0.096        	1.136275e-04
0.0965       	1.132690e-04
0.097        	1.146808e-04
0.0975       	1.158024e-04
0.098        	1.162697e-04
0.0985       	1.164284e-04
0.099        	1.167249e-04
0.0995       	1.175157e-04
0.1          	1.178798e-04
