# Region type : patch wall
# Faces  :   768
# Area   :   4.787251e-03
# Time       	sum(phi)
0.0005       	3.392977e-23
0.001        	-4.596417e-24
0.0015       	1.609948e-22
0.002        	-7.760063e-24
0.0025       	4.051869e-23
0.003        	-5.755559e-23
0.0035       	-3.815479e-23
0.004        	5.704252e-23
0.0045       	-2.845483e-23
0.005        	-1.076625e-23
0.0055       	3.827653e-23
0.006        	-1.188450e-22
0.0065       	-4.309965e-23
0.007        	3.272162e-24
0.0075       	4.488839e-23
0.008        	2.271408e-23
0.0085       	-2.767531e-23
0.009        	9.083508e-23
0.0095       	3.875221e-24
0.01         	-5.665781e-23
0.0105       	6.733541e-23
0.011        	8.381715e-24
0.0115       	-1.034182e-24
0.012        	-4.321743e-24
0.0125       	3.239071e-23
0.013        	3.786329e-23
0.0135       	4.492332e-23
0.014        	-3.381960e-24
0.0145       	-1.473772e-23
0.015        	-7.204111e-23
0.0155       	-5.213563e-23
0.016        	2.852699e-23
0.0165       	-6.038246e-23
0.017        	-6.482607e-24
0.0175       	-5.457381e-25
0.018        	-8.287583e-24
0.0185       	-3.457566e-23
0.019        	-3.706082e-24
0.0195       	-4.584054e-23
0.02         	1.344840e-24
0.0205       	-3.128357e-23
0.021        	1.815963e-23
0.0215       	5.210927e-24
0.022        	-2.802522e-23
0.0225       	-1.249581e-23
0.023        	-1.366659e-23
0.0235       	1.025602e-23
0.024        	-3.242175e-23
0.0245       	8.244413e-26
0.025        	4.347630e-24
0.0255       	4.993933e-24
0.026        	-3.835983e-24
0.0265       	-1.046512e-23
0.027        	-1.489786e-23
0.0275       	1.137230e-23
0.028        	-4.912746e-24
0.0285       	1.345422e-23
0.029        	9.454748e-24
0.0295       	-8.129333e-24
0.03         	-5.852698e-24
0.0305       	1.157102e-23
0.031        	-2.246200e-23
0.0315       	-1.523314e-23
0.032        	1.159989e-23
0.0325       	-3.278688e-24
0.033        	1.663977e-23
0.0335       	1.248850e-23
0.034        	3.581845e-24
0.0345       	1.397192e-23
0.035        	5.263560e-24
0.0355       	7.971827e-24
0.036        	-1.546811e-24
0.0365       	-9.021297e-24
0.037        	-2.046465e-23
0.0375       	-1.664342e-23
0.038        	-3.251942e-24
0.0385       	2.400264e-24
0.039        	-1.130509e-23
0.0395       	2.340790e-23
0.04         	5.588208e-24
0.0405       	1.526372e-23
0.041        	-2.170762e-24
0.0415       	-3.690678e-24
0.042        	1.006266e-23
0.0425       	2.700685e-23
0.043        	-1.144121e-23
0.0435       	-2.222587e-23
0.044        	-2.328128e-23
0.0445       	2.506607e-23
0.045        	-6.654028e-24
0.0455       	6.013542e-25
0.046        	3.184552e-24
0.0465       	6.567687e-24
0.047        	-1.409534e-23
0.0475       	1.145692e-23
0.048        	5.307089e-24
0.0485       	1.697238e-24
0.049        	1.709396e-23
0.0495       	6.726736e-25
0.05         	3.475467e-24
0.0505       	-4.664762e-24
0.051        	3.225902e-24
0.0515       	-1.864015e-23
0.052        	-1.572926e-23
0.0525       	8.150473e-24
