# Region type : patch wall
# Faces  :   768
# Area   :   4.787251e-03
# Time       	sum(phi)
0.0005       	3.944325e-23
0.001        	-6.504016e-23
0.0015       	1.554497e-23
0.002        	3.518593e-23
0.0025       	-3.530954e-23
0.003        	1.170934e-22
0.0035       	-1.082991e-22
0.004        	4.310448e-23
0.0045       	-6.085796e-23
0.005        	-4.347420e-23
0.0055       	3.510077e-23
0.006        	-1.441102e-23
0.0065       	3.904397e-23
0.007        	-1.764955e-23
0.0075       	5.597123e-23
0.008        	-2.362303e-23
0.0085       	3.019023e-24
0.009        	-3.667807e-23
0.0095       	-2.590940e-23
0.01         	-8.646523e-23
0.0105       	1.375709e-22
0.011        	6.152727e-23
0.0115       	-6.649694e-23
0.012        	-6.218778e-23
0.0125       	-3.706485e-23
0.013        	-1.556748e-23
0.0135       	-8.458195e-23
0.014        	1.070489e-23
0.0145       	9.883602e-24
0.015        	-5.994581e-23
0.0155       	1.720995e-23
0.016        	1.014131e-23
0.0165       	-1.387905e-23
0.017        	1.666640e-23
0.0175       	-3.351710e-23
0.018        	1.445656e-23
0.0185       	2.495277e-23
0.019        	1.178334e-23
0.0195       	-4.124389e-23
0.02         	-2.648812e-24
0.0205       	-1.645643e-23
0.021        	-2.281865e-24
0.0215       	-2.161660e-23
0.022        	1.247762e-23
0.0225       	1.107965e-25
0.023        	-3.589536e-24
0.0235       	6.943608e-24
0.024        	-1.573297e-24
0.0245       	1.655863e-23
0.025        	-1.008179e-23
0.0255       	-2.863558e-24
0.026        	-1.062011e-23
0.0265       	-1.853271e-23
0.027        	9.073947e-24
0.0275       	5.308527e-24
0.028        	-2.159821e-23
0.0285       	-2.291539e-23
0.029        	5.264476e-24
0.0295       	9.568054e-24
0.03         	-1.860837e-24
0.0305       	1.131123e-24
0.031        	-2.558268e-23
0.0315       	1.467414e-23
0.032        	-6.290463e-24
0.0325       	-1.247540e-24
0.033        	-4.906874e-24
0.0335       	5.805844e-24
0.034        	4.218660e-24
0.0345       	1.105918e-23
0.035        	-5.656755e-24
0.0355       	-4.541093e-24
0.036        	1.242024e-23
0.0365       	3.056806e-24
0.037        	-1.003062e-23
0.0375       	5.496088e-24
0.038        	-1.741922e-25
0.0385       	-5.177161e-24
0.039        	-4.158640e-24
0.0395       	-1.728686e-23
0.04         	2.847997e-23
0.0405       	-3.959960e-24
0.041        	-1.810418e-23
0.0415       	-1.350835e-23
0.042        	-1.405856e-23
0.0425       	-1.898419e-23
0.043        	-5.006350e-24
0.0435       	-4.795586e-24
0.044        	5.972846e-25
0.0445       	-8.022338e-24
0.045        	3.215496e-24
0.0455       	-2.267095e-23
0.046        	-2.696306e-23
0.0465       	-2.157557e-24
0.047        	-4.190967e-24
0.0475       	6.830740e-24
0.048        	4.991853e-24
0.0485       	2.254855e-23
0.049        	-9.117008e-24
0.0495       	-1.358644e-23
0.05         	-2.417841e-24
0.0505       	2.478983e-23
0.051        	8.999172e-24
0.0515       	5.537874e-24
0.052        	-1.487745e-23
0.0525       	6.316363e-24
0.053        	-1.158618e-23
0.0535       	-2.190782e-23
0.054        	-1.770197e-23
0.0545       	4.874793e-23
0.055        	-2.843907e-23
0.0555       	-1.815177e-23
0.056        	4.347315e-24
0.0565       	2.661662e-23
0.057        	-8.624201e-24
0.0575       	-3.986726e-25
0.058        	3.698150e-24
0.0585       	-3.574980e-23
0.059        	-1.270468e-23
0.0595       	1.734810e-24
0.06         	-5.598284e-25
0.0605       	5.174018e-24
0.061        	2.835814e-24
