# Region type : patch outlet
# Faces  :   4
# Area   :   1.000000e-02
# Time       	sum(phi)
0.005        	1.188040e-02
0.01         	1.187997e-02
0.015        	1.188074e-02
0.02         	1.188096e-02
0.025        	1.188086e-02
0.03         	1.187970e-02
0.035        	1.188006e-02
0.04         	1.188002e-02
0.045        	1.187990e-02
0.05         	1.188084e-02
0.055        	1.188089e-02
0.06         	1.188089e-02
0.065        	1.188041e-02
0.07         	1.188138e-02
0.075        	1.187962e-02
0.08         	1.188001e-02
0.085        	1.188070e-02
0.09         	1.188030e-02
0.095        	1.187994e-02
0.1          	1.188055e-02
0.105        	1.188135e-02
0.11         	1.188067e-02
0.115        	1.188018e-02
0.12         	1.188175e-02
0.125        	1.188092e-02
0.13         	1.188076e-02
0.135        	1.188032e-02
0.14         	1.188071e-02
0.145        	1.188074e-02
0.15         	1.188123e-02
0.155        	1.188070e-02
0.16         	1.188029e-02
0.165        	1.188051e-02
0.17         	1.188072e-02
0.175        	1.188088e-02
0.18         	1.188084e-02
0.185        	1.188111e-02
0.19         	1.188211e-02
0.195        	1.188071e-02
0.2          	1.188085e-02
0.205        	1.188183e-02
0.21         	1.187988e-02
0.215        	1.187880e-02
0.22         	1.187900e-02
0.225        	1.187932e-02
0.23         	1.188038e-02
0.235        	1.188096e-02
0.24         	1.187991e-02
0.245        	1.187922e-02
0.25         	1.187975e-02
0.255        	1.187993e-02
0.26         	1.188033e-02
0.265        	1.188029e-02
0.27         	1.188065e-02
0.275        	1.188136e-02
0.28         	1.187974e-02
0.285        	1.187977e-02
0.29         	1.187872e-02
0.295        	1.187967e-02
0.3          	1.187979e-02
0.305        	1.188003e-02
0.31         	1.188064e-02
0.315        	1.188152e-02
0.32         	1.188030e-02
0.325        	1.187906e-02
0.33         	1.188013e-02
0.335        	1.188083e-02
0.34         	1.188148e-02
0.345        	1.187994e-02
0.35         	1.187960e-02
0.355        	1.187948e-02
0.36         	1.188001e-02
0.365        	1.188064e-02
0.37         	1.188053e-02
0.375        	1.187941e-02
0.38         	1.187919e-02
0.385        	1.187901e-02
0.39         	1.187864e-02
0.395        	1.187869e-02
0.4          	1.187854e-02
0.405        	1.187863e-02
0.41         	1.187845e-02
0.415        	1.187859e-02
0.42         	1.187860e-02
0.425        	1.187873e-02
0.43         	1.187886e-02
0.435        	1.187904e-02
0.44         	1.187919e-02
0.445        	1.187943e-02
0.45         	1.187958e-02
0.455        	1.187972e-02
0.46         	1.188045e-02
0.465        	1.187974e-02
0.47         	1.187966e-02
0.475        	1.187968e-02
0.48         	1.187913e-02
0.485        	1.187887e-02
0.49         	1.187857e-02
0.495        	1.187834e-02
0.5          	1.187823e-02
0.505        	1.187801e-02
0.51         	1.188018e-02
0.515        	1.188004e-02
0.52         	1.188149e-02
0.525        	1.188146e-02
0.53         	1.188138e-02
0.535        	1.188125e-02
0.54         	1.188059e-02
