# Region type : patch wall
# Faces  :   264
# Area   :   8.000000e-01
# Time       	sum(phi)
0.005        	-7.013137e-07
0.01         	-4.557771e-07
0.015        	-1.236396e-06
0.02         	-1.440400e-06
0.025        	-6.685485e-07
0.03         	-5.883317e-07
0.035        	-1.624974e-07
0.04         	5.143405e-07
0.045        	-5.399340e-07
0.05         	-1.523449e-06
0.055        	-1.123788e-06
0.06         	-9.215880e-07
0.065        	-8.920914e-07
0.07         	-3.886371e-07
0.075        	-1.429729e-08
0.08         	-3.014064e-07
0.085        	-1.088840e-06
0.09         	-1.432703e-06
0.095        	-9.909402e-07
0.1          	-4.492433e-07
0.105        	-3.188094e-07
0.11         	-4.054929e-07
0.115        	-6.165386e-07
0.12         	-7.322483e-07
0.125        	-7.739275e-07
0.13         	-7.287574e-07
0.135        	-5.727030e-07
0.14         	-4.064638e-07
0.145        	-3.976568e-07
0.15         	-4.707197e-07
0.155        	-4.730944e-07
0.16         	-4.085446e-07
0.165        	-3.633918e-07
0.17         	-3.526947e-07
0.175        	-3.275092e-07
0.18         	-2.773004e-07
0.185        	-2.289147e-07
0.19         	-1.991242e-07
0.195        	-1.750688e-07
0.2          	-1.475691e-07
0.205        	-1.101134e-07
0.21         	2.335967e-08
0.215        	3.778998e-08
0.22         	3.100027e-08
0.225        	9.238083e-08
0.23         	1.034816e-07
0.235        	1.153452e-07
0.24         	1.531187e-07
0.245        	2.051158e-07
0.25         	2.551086e-07
0.255        	2.933521e-07
0.26         	3.169684e-07
0.265        	3.243847e-07
0.27         	3.313361e-07
0.275        	3.567564e-07
0.28         	4.020518e-07
0.285        	4.536284e-07
0.29         	4.953452e-07
0.295        	5.188656e-07
0.3          	5.289676e-07
0.305        	5.374883e-07
0.31         	5.540633e-07
0.315        	5.811440e-07
0.32         	6.124840e-07
0.325        	6.389296e-07
0.33         	6.569178e-07
0.335        	6.694905e-07
0.34         	6.799799e-07
0.345        	6.904352e-07
0.35         	6.992140e-07
0.355        	7.056485e-07
0.36         	7.094163e-07
0.365        	7.116201e-07
0.37         	7.132498e-07
0.375        	7.218163e-07
0.38         	7.769717e-07
0.385        	7.411340e-07
0.39         	7.112065e-07
0.395        	7.150441e-07
0.4          	7.031128e-07
0.405        	6.704127e-07
0.41         	6.517067e-07
0.415        	6.393720e-07
0.42         	6.114339e-07
0.425        	5.794198e-07
0.43         	5.533874e-07
0.435        	5.232927e-07
0.44         	4.856603e-07
0.445        	4.484746e-07
0.45         	4.122486e-07
0.455        	3.727543e-07
0.46         	3.320612e-07
0.465        	2.925898e-07
0.47         	2.520800e-07
0.475        	2.087858e-07
0.48         	1.638078e-07
0.485        	1.085847e-07
0.49         	2.499143e-08
0.495        	-6.325998e-08
0.5          	-8.284029e-08
0.505        	-1.027398e-07
0.51         	-1.776278e-07
0.515        	-2.029023e-07
0.52         	-2.381430e-07
0.525        	-2.913563e-07
0.53         	-3.292438e-07
0.535        	-3.642253e-07
0.54         	-4.031787e-07
0.545        	-4.403810e-07
0.55         	-4.735256e-07
0.555        	-5.047032e-07
0.56         	-5.355973e-07
0.565        	-5.655897e-07
0.57         	-5.927992e-07
0.575        	-6.174704e-07
0.58         	-6.404776e-07
0.585        	-6.614997e-07
0.59         	-6.795964e-07
0.595        	-6.947749e-07
0.6          	-7.079134e-07
0.605        	-7.189379e-07
0.61         	-7.272248e-07
0.615        	-7.331157e-07
0.62         	-7.370147e-07
0.625        	-7.383782e-07
0.63         	-7.371247e-07
0.635        	-7.333939e-07
0.64         	-7.268757e-07
0.645        	-7.186807e-07
0.65         	-7.081949e-07
0.655        	-6.957230e-07
0.66         	-6.814470e-07
0.665        	-6.654694e-07
0.67         	-6.909779e-07
0.675        	-6.928330e-07
0.68         	-6.327985e-07
0.685        	-6.063107e-07
0.69         	-6.055818e-07
0.695        	-5.743408e-07
0.7          	-5.316058e-07
0.705        	-5.099358e-07
0.71         	-4.890363e-07
0.715        	-4.520015e-07
0.72         	-4.169528e-07
0.725        	-3.909080e-07
0.73         	-3.601509e-07
0.735        	-3.233587e-07
0.74         	-2.904824e-07
0.745        	-2.600053e-07
0.75         	-2.259277e-07
0.755        	-1.907627e-07
0.76         	-1.578625e-07
0.765        	-1.249324e-07
0.77         	-9.022632e-08
0.775        	-5.573318e-08
0.78         	-2.224554e-08
0.785        	1.033265e-08
0.79         	4.119440e-08
0.795        	7.337708e-08
0.8          	1.049483e-07
0.805        	1.361631e-07
0.81         	1.676952e-07
0.815        	1.989942e-07
0.82         	2.299172e-07
0.825        	2.606894e-07
0.83         	2.911670e-07
0.835        	3.212098e-07
0.84         	3.507376e-07
0.845        	3.797411e-07
0.85         	4.081501e-07
0.855        	4.358391e-07
0.86         	4.627247e-07
0.865        	4.887173e-07
0.87         	5.136932e-07
0.875        	5.375140e-07
0.88         	5.600490e-07
0.885        	5.811938e-07
0.89         	6.008456e-07
0.895        	6.188866e-07
0.9          	6.352101e-07
0.905        	6.497398e-07
0.91         	6.622648e-07
0.915        	6.728201e-07
0.92         	6.811815e-07
0.925        	6.873707e-07
0.93         	6.911629e-07
0.935        	6.926991e-07
0.94         	6.918169e-07
0.945        	7.139771e-07
0.95         	7.436771e-07
0.955        	7.004944e-07
0.96         	6.840950e-07
0.965        	6.911470e-07
0.97         	6.709605e-07
0.975        	6.396366e-07
0.98         	6.241569e-07
0.985        	6.064660e-07
0.99         	5.742874e-07
0.995        	5.438645e-07
1            	5.179051e-07
1.005        	4.856317e-07
1.01         	4.485060e-07
1.015        	4.134581e-07
1.02         	3.775589e-07
1.025        	3.376246e-07
1.03         	2.967535e-07
1.035        	2.562501e-07
1.04         	2.141681e-07
1.045        	1.704782e-07
1.05         	1.266691e-07
1.055        	8.269760e-08
1.06         	3.792749e-08
1.065        	-7.139334e-09
1.07         	-5.163962e-08
1.075        	-9.362945e-08
1.08         	-1.365242e-07
1.085        	-1.790634e-07
1.09         	-2.204982e-07
1.095        	-2.615011e-07
1.1          	-3.017391e-07
1.105        	-3.407925e-07
1.11         	-3.787447e-07
1.115        	-4.154576e-07
1.12         	-4.507153e-07
1.125        	-4.844212e-07
1.13         	-5.164516e-07
1.135        	-5.466793e-07
1.14         	-5.750030e-07
1.145        	-6.013183e-07
1.15         	-6.255288e-07
1.155        	-6.475429e-07
1.16         	-6.672910e-07
1.165        	-6.847062e-07
1.17         	-6.997367e-07
1.175        	-7.123399e-07
1.18         	-7.224898e-07
1.185        	-7.301731e-07
1.19         	-7.353769e-07
1.195        	-7.381698e-07
1.2          	-7.384871e-07
1.205        	-7.364387e-07
1.21         	-7.320721e-07
1.215        	-7.250630e-07
1.22         	-7.164303e-07
1.225        	-7.054220e-07
1.23         	-6.923732e-07
1.235        	-6.773661e-07
1.24         	-6.606231e-07
1.245        	-6.930382e-07
1.25         	-6.825391e-07
1.255        	-6.230874e-07
1.26         	-6.015747e-07
1.265        	-5.990679e-07
1.27         	-5.643283e-07
1.275        	-5.228228e-07
1.28         	-5.024543e-07
1.285        	-4.794608e-07
1.29         	-4.411847e-07
1.295        	-4.070199e-07
1.3          	-3.809293e-07
1.305        	-3.490377e-07
1.31         	-3.121192e-07
1.315        	-2.796077e-07
1.32         	-2.486833e-07
1.325        	-2.139182e-07
1.33         	-1.786573e-07
1.335        	-1.456756e-07
1.34         	-1.122965e-07
1.345        	-7.729265e-08
1.35         	-4.275938e-08
1.355        	-9.157955e-09
1.36         	2.289903e-08
1.365        	5.434100e-08
1.37         	8.675904e-08
1.375        	1.184048e-07
1.38         	1.499262e-07
1.385        	1.816705e-07
1.39         	2.130479e-07
1.395        	2.441696e-07
1.4          	2.749703e-07
1.405        	3.055712e-07
1.41         	3.356853e-07
1.415        	3.653085e-07
1.42         	3.943926e-07
1.425        	4.228526e-07
1.43         	4.505516e-07
1.435        	4.774009e-07
1.44         	5.033188e-07
1.445        	5.281838e-07
1.45         	5.518744e-07
1.455        	5.742647e-07
1.46         	5.952528e-07
1.465        	6.147262e-07
1.47         	6.325560e-07
1.475        	6.486344e-07
1.48         	6.628829e-07
1.485        	6.750898e-07
1.49         	6.853129e-07
1.495        	6.933218e-07
1.5          	6.991579e-07
