# Region type : patch wall
# Faces  :   264
# Area   :   8.000000e-01
# Time       	sum(phi)
0.005        	-3.825588e-07
0.01         	-1.947108e-07
0.015        	-6.663634e-07
0.02         	-1.022823e-06
0.025        	-5.670780e-07
0.03         	-2.714848e-07
0.035        	5.733153e-08
0.04         	4.537680e-07
0.045        	-1.025850e-07
0.05         	-7.830665e-07
0.055        	-8.089128e-07
0.06         	-6.994701e-07
0.065        	-4.463010e-07
0.07         	-6.588446e-09
0.075        	1.777658e-07
0.08         	-1.226531e-07
0.085        	-6.682807e-07
0.09         	-8.657702e-07
0.095        	-5.523099e-07
0.1          	-1.736752e-07
0.105        	-7.083516e-08
0.11         	-1.494645e-07
0.115        	-3.232920e-07
0.12         	-4.248157e-07
0.125        	-4.368907e-07
0.13         	-3.789290e-07
0.135        	-2.715727e-07
0.14         	-1.804513e-07
0.145        	-1.842008e-07
0.15         	-2.333689e-07
0.155        	-2.456106e-07
0.16         	-2.208691e-07
0.165        	-1.996548e-07
0.17         	-1.862427e-07
0.175        	-1.603371e-07
0.18         	-1.259117e-07
0.185        	-1.026139e-07
0.19         	-9.748013e-08
0.195        	-9.610726e-08
0.2          	-8.657661e-08
0.205        	-5.251496e-08
0.21         	1.758125e-08
0.215        	1.404809e-08
0.22         	3.733837e-08
0.225        	5.529566e-08
0.23         	5.303332e-08
0.235        	5.723666e-08
0.24         	7.825713e-08
0.245        	1.077497e-07
0.25         	1.355410e-07
0.255        	1.566347e-07
0.26         	1.674656e-07
0.265        	1.680179e-07
0.27         	1.695610e-07
0.275        	1.825428e-07
0.28         	2.070761e-07
0.285        	2.349080e-07
0.29         	2.565309e-07
0.295        	2.675794e-07
0.3          	2.711780e-07
0.305        	2.740936e-07
0.31         	2.821149e-07
0.315        	2.966745e-07
0.32         	3.136314e-07
0.325        	3.273355e-07
0.33         	3.358037e-07
0.335        	3.409107e-07
0.34         	3.451067e-07
0.345        	3.497342e-07
0.35         	3.542412e-07
0.355        	3.579327e-07
0.36         	3.600608e-07
0.365        	3.609238e-07
0.37         	3.610756e-07
0.375        	3.726253e-07
0.38         	3.905934e-07
0.385        	3.685936e-07
0.39         	3.586005e-07
0.395        	3.616772e-07
0.4          	3.514630e-07
0.405        	3.353715e-07
0.41         	3.277748e-07
0.415        	3.196552e-07
0.42         	3.037545e-07
0.425        	2.882134e-07
0.43         	2.752585e-07
0.435        	2.590910e-07
0.44         	2.398771e-07
0.445        	2.214092e-07
0.45         	2.025995e-07
0.455        	1.819473e-07
0.46         	1.612666e-07
0.465        	1.412930e-07
0.47         	1.205663e-07
0.475        	9.852866e-08
0.48         	7.578431e-08
0.485        	5.078618e-08
0.49         	1.270559e-08
0.495        	-2.600644e-08
0.5          	-3.938732e-08
0.505        	-5.233127e-08
0.51         	-8.465305e-08
0.515        	-1.012752e-07
0.52         	-1.196966e-07
0.525        	-1.451427e-07
0.53         	-1.646790e-07
0.535        	-1.830862e-07
0.54         	-2.025964e-07
0.545        	-2.210534e-07
0.55         	-2.380829e-07
0.555        	-2.541711e-07
0.56         	-2.698531e-07
0.565        	-2.850220e-07
0.57         	-2.988907e-07
0.575        	-3.114760e-07
0.58         	-3.231104e-07
0.585        	-3.337025e-07
0.59         	-3.429168e-07
0.595        	-3.507183e-07
0.6          	-3.574448e-07
0.605        	-3.630637e-07
0.61         	-3.673064e-07
0.615        	-3.703134e-07
0.62         	-3.722331e-07
0.625        	-3.728979e-07
0.63         	-3.722795e-07
0.635        	-3.704144e-07
0.64         	-3.671555e-07
0.645        	-3.629687e-07
0.65         	-3.576786e-07
0.655        	-3.513233e-07
0.66         	-3.440577e-07
0.665        	-3.359425e-07
0.67         	-3.481985e-07
0.675        	-3.501247e-07
0.68         	-3.193338e-07
0.685        	-3.054998e-07
0.69         	-3.053304e-07
0.695        	-2.896725e-07
0.7          	-2.679016e-07
0.705        	-2.567100e-07
0.71         	-2.462608e-07
0.715        	-2.275619e-07
0.72         	-2.096140e-07
0.725        	-1.963838e-07
0.73         	-1.808895e-07
0.735        	-1.622021e-07
0.74         	-1.454720e-07
0.745        	-1.300617e-07
0.75         	-1.128072e-07
0.755        	-9.494177e-08
0.76         	-7.824366e-08
0.765        	-6.155672e-08
0.77         	-4.396514e-08
0.775        	-2.646516e-08
0.78         	-9.500661e-09
0.785        	6.988158e-09
0.79         	2.264735e-08
0.795        	3.897152e-08
0.8          	5.498392e-08
0.805        	7.081646e-08
0.81         	8.683843e-08
0.815        	1.026717e-07
0.82         	1.183750e-07
0.825        	1.339762e-07
0.83         	1.494289e-07
0.835        	1.646645e-07
0.84         	1.796416e-07
0.845        	1.943494e-07
0.85         	2.087550e-07
0.855        	2.227961e-07
0.86         	2.364254e-07
0.865        	2.496005e-07
0.87         	2.622546e-07
0.875        	2.743211e-07
0.88         	2.857344e-07
0.885        	2.964396e-07
0.89         	3.063832e-07
0.895        	3.155062e-07
0.9          	3.237503e-07
0.905        	3.310655e-07
0.91         	3.373894e-07
0.915        	3.426868e-07
0.92         	3.468771e-07
0.925        	3.499732e-07
0.93         	3.518374e-07
0.935        	3.525487e-07
0.94         	3.520412e-07
0.945        	3.662929e-07
0.95         	3.770713e-07
0.955        	3.550139e-07
0.96         	3.483527e-07
0.965        	3.517088e-07
0.97         	3.402374e-07
0.975        	3.247803e-07
0.98         	3.173749e-07
0.985        	3.078239e-07
0.99         	2.912508e-07
0.995        	2.760571e-07
1            	2.628550e-07
1.005        	2.461751e-07
1.01         	2.272936e-07
1.015        	2.095852e-07
1.02         	1.912471e-07
1.025        	1.708498e-07
1.03         	1.501146e-07
1.035        	1.295495e-07
1.04         	1.081057e-07
1.045        	8.588394e-08
1.05         	6.366034e-08
1.055        	4.132487e-08
1.06         	1.856601e-08
1.065        	-4.307406e-09
