    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  150001     1005  2.3338009e-06    5.06343e-06      840.47342          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  150001     1005  2.3338009e-06    5.06343e-06      840.47342          0.011 
  150501     1005  2.4508543e-06  5.7530481e-06      840.47342          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  150501     1005  2.4508543e-06  5.7530481e-06      840.47342          0.011 
  151000     1005  1.5470023e-06  5.4809678e-06      834.43112          0.011 
  151001     1005  1.5455309e-06  5.4812829e-06      834.41902          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  151001     1005  1.5455309e-06  5.4812829e-06      840.47342          0.011 
  151501     1005  0.00010518122   1.575762e-05       831.7114          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  151501     1005  0.00010518122   1.575762e-05      840.47342          0.011 
  152000     1005  3.2697697e-05  1.5180735e-05      831.76741          0.011 
  152001     1005  3.2589938e-05  1.5164458e-05      831.74996          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  152001     1005  3.2589938e-05  1.5164458e-05      840.47342          0.011 
  152501     1005  2.9214535e-05  1.2311021e-05      831.78776          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  152501     1005  2.9214535e-05  1.2311021e-05      840.47342          0.011 
  153000     1005  2.0328198e-05  1.3462895e-05      831.84186          0.011 
  153001     1005  2.0315796e-05  1.3463039e-05      831.82456          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  153001     1005  2.0315796e-05  1.3463039e-05      840.47342          0.011 
  153501     1005  1.9910497e-05   1.300739e-05      831.86352          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  153501     1005  1.9910497e-05   1.300739e-05      840.47342          0.011 
  154000     1005  8.9503294e-06  1.1338356e-05      831.91865          0.011 
  154001     1005  8.9394206e-06  1.1336444e-05      831.90151          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  154001     1005  8.9394206e-06  1.1336444e-05      840.47342          0.011 
  154501     1005  1.1289703e-05  1.1892169e-05      831.93877          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  154501     1005  1.1289703e-05  1.1892169e-05      840.47342          0.011 
  155000     1005  7.2821819e-06  1.1500122e-05      831.99216          0.011 
  155001     1005  7.2701279e-06  1.1496405e-05      831.97517          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  155001     1005  7.2701279e-06  1.1496405e-05      840.47342          0.011 
  155501     1005  5.6951783e-06  1.0357174e-05      832.01115          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  155501     1005  5.6951783e-06  1.0357174e-05      840.47342          0.011 
  156000     1005  5.3762655e-06  1.0953895e-05      832.06325          0.011 
  156001     1005  5.3715647e-06  1.0953704e-05      832.04639          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  156001     1005  5.3715647e-06  1.0953704e-05      840.47342          0.011 
  156501     1005  3.7372587e-06  1.0272653e-05      832.08105          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  156501     1005  3.7372587e-06  1.0272653e-05      840.47342          0.011 
  157000     1005  4.0732083e-06  1.0424163e-05      832.13188          0.011 
  157001     1005  4.0730611e-06  1.0424691e-05      832.11517          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  157001     1005  4.0730611e-06  1.0424691e-05      840.47342          0.011 
  157501     1005  3.1668714e-06  1.0095695e-05      832.14896          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  157501     1005  3.1668714e-06  1.0095695e-05      840.47342          0.011 
